Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2026-01-15 05:16 (-06),On Demand,Alex Karwoski,30,Running,Endurance,30 min Endurance Run,2026-01-08 14:24 (-06),570,,,,6.99,3.50,519,,1.87,8:35
2026-01-15 05:48 (-06),On Demand,Matt Wilpers,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2026-01-07 23:00 (-06),,,,,,,16,,,
2026-01-15 21:14 (-06),On Demand,Anna Greenberg,5,Meditation,Sleep,5 min Sleep Meditation,2024-07-11 09:00 (-06),,,,,,,,,,
2026-01-17 11:11 (-06),On Demand,Becs Gentry,120,Running,Music,120 min 2000s Run,2024-10-04 03:55 (-06),2154,,,,7.03,14.08,1830,152.58,0.70,8:32
2026-01-17 13:22 (-06),On Demand,Jermaine Johnson,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2025-03-11 23:00 (-06),,,,,,,33,,,
2026-01-22 05:05 (-06),On Demand,Jon Hosking,5,Stretching,Pre-Run Stretch,5 min Pre-Run Warm Up,2026-01-07 23:00 (-06),,,,,,,28,91.30,,
2026-01-22 05:13 (-06),On Demand,Jon Hosking,30,Running,Music,30 min 2000s Run,2026-01-13 13:25 (-06),582,,,,7.33,3.66,402,140.70,1.38,8:11
2026-01-22 05:46 (-06),On Demand,Jermaine Johnson,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2026-01-21 23:00 (-06),,,,,,,27,104.98,,
2026-02-03 05:12 (-06),On Demand,Denis Morton,30,Yoga,Flow,30 min Yoga Flow,2026-01-31 12:54 (-06),,,,,,,134,,,
2026-02-04 05:10 (-06),On Demand,Alex Toussaint,5,Stretching,Pre-Run Stretch,5 min Pre-Run Warm Up,2025-11-19 23:00 (-06),,,,,,,32,,,
2026-02-04 05:20 (-06),On Demand,Becs Gentry,30,Running,Intervals,30 min Intervals Run,2026-01-30 13:38 (-06),572,,,,7.53,3.77,521,,0.50,7:58
2026-02-04 05:51 (-06),On Demand,Matt Wilpers,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2026-01-07 23:00 (-06),,,,,,,16,,,
2026-02-07 17:08 (-06),On Demand,Olivia Amato,20,Walking,Music,20 min Pop Walk,2026-02-03 16:24 (-06),202,,,,3.81,1.27,184,,,
2026-02-08 11:00 (-06),On Demand,Logan Aldridge,5,Stretching,Pre-Run Stretch,5 min Pre-Run Warm Up,2026-02-04 23:00 (-06),,,,,,,33,,,
2026-02-08 11:08 (-06),On Demand,Alex Karwoski,30,Running,Endurance,30 min Endurance Run,2026-01-30 11:53 (-06),536,,,,7.07,3.53,380,136.62,0.50,8:29
2026-02-08 11:40 (-06),On Demand,Andy Speer,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2026-01-14 23:00 (-06),,,,,,,18,100.67,,
